@Username,Tweet,Lokasi
ratih_ploey,"Dia berkata mendukung Prabowo sejak awal.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Pada saat itu, Jokowi menjawab pertanyaan wartawan mengenai dukungan terhadap Prabowo di 2024. 
#KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Pertama, saat menghadiri Indodefence yang digelar Kementerian Pertahanan.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Jokowi dua kali memberi sinyal dukungan terhadap Prabowo. 
#KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"terhadap Prabowo Subianto untuk mencalonkan diri sebagai presiden.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,Presiden Joko Widodo tak masalah dengan anggapan tentang dirinya memberi sinyal dukungan Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde,
ratih_ploey,"""Ini pertahanan,"" kata Ketua Umum Partai Gerindra itu.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Tapi, Prabowo yang sedari tadi mendengar jawaban Jokowi langsung menyahut. 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"""Saya kira biasa berbicara dengan, bukan sering tapi terlalu sering berbicara dengan Pak Menhan itu,"" kata Jokowi.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
papa_sheva,"@KowuLaode2 @democrazymedia GOBLOK!
Loe pikir pak Jokowi gak punya kerjaan apa, hingga harus nanggapi orang sinting?

Kasus spt itu urusannya KPU dan petugas Litsus yg udah clear semua.
Prabowo, SBY, AR tau itu.
Sbb mereka hapal prosedur dan proses Litsus, dan mereka juga tau buku tsb cuma REKAYASA BT",Čardaci - Bugojno - Bosnia 
ratih_ploey,"Jokowi hanya menyebut dirinya memang sering bertukar pikiran mengenai bagaimana Indonesia ke depan. 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"untuk menghadapi 2024, Jokowi tidak menjawab secara spesifik.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Saat ditanya soal apakah ada wejangan yang diberikan kepada Prabowo 
#KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"yang dimaksud apakah terkait Capres atau program pertahanan.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Hanya saja, Jokowi tidak merinci lebih lanjut apakah dukungan 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"di samping Prabowo yang ikut berdiri bersebelahan saat konferensi pers.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"""Sejak awal saya menyampaikan mendukung beliau,"" kata Jokowi, 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"di acara Indo Defence Expo &amp; Forum 2022 di Jiexpo Kemayoran, Jakarta Pusat, Rabu, 2 November 2022.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"""Sudah sejak awal, kok restu-restu,"" kata kata Jokowi saat konferensi pers 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Prabowo untuk maju sebagai Calon Presiden (Capres) pada Pemilu Presiden atau Pilpres 2024.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Jokowi membantah kalau pujian Prabowo datang karena dirinya sudah memberi restu kepada 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"terkait penanganan pandemi Covid-19 dan upaya mediasi Perang Rusia Ukraina.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Presiden Joko Widodo atau Jokowi menanggapi pujian yang kerap disampaikan oleh Menteri Pertahanan Prabowo Subianto, 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Sejak Awal Saya Dukung Prabowo
#KitaGerindra #BangkitBersama #IkutPakde https://t.co/y16jOWc8yf",
chemat_1st,@lembahyungsenja @convomf Bapaknya prabowo itu soemitro (kaca mata paling belakangnya) mba belakangnya pak soedjatmoko,
WulandaPrabowo,"Panasnyaa gilaaaa..butuh penyejuk,apalagi penyejuk hati aku,kamuu :)",
Epadmaaaw,"✨ Uniqlo Tas Bahu Mini | 169K✨
🌵 https://t.co/Wclu3coEAm

Rubicon pelakor pak prabowo tuan muda david berkah dalem H-10 dari 2-0 #SECRET_NUMBER #TiffanyxWINReadyToSG https://t.co/S4sGLxzAE1",
